,description,full_name,id,language,name,open_issues_count,stargazers_count,test_coverage
17,"Modern, Crazy Fast, Ridiculously Easy and Amazingly Powerful Flat-File CMS",getgrav/grav,22553797,PHP,grav,348,11064,
18,ARCHIVED,PHPOffice/PHPExcel,4702560,PHP,PHPExcel,668,10927,
19,Open software engineering platform and fun adventure game,phacility/phabricator,1280180,PHP,phabricator,1,10756,
20,A PHP parser written in PHP,nikic/PHP-Parser,1631570,PHP,PHP-Parser,44,10699,95.0211685012701
21,🎶A personal music streaming server that works.,phanan/koel,47495360,PHP,koel,74,10259,58.735332464146
22,PHP errors for cool kids ,filp/whoops,8708394,PHP,whoops,61,10233,
23,WordPress starter theme with a modern development workflow,roots/sage,1305114,PHP,sage,27,10071,
24,Slim is a PHP micro framework that helps you quickly write simple yet powerful web applications and APIs.,slimphp/Slim,926544,PHP,Slim,6,9908,100.0
25,📛 An open source status page system for everyone.,CachetHQ/Cachet,26730195,PHP,Cachet,173,9859,
26,"High performance, full-stack PHP framework delivered as a C extension.",phalcon/cphalcon,2854337,PHP,cphalcon,99,9707,
27,Abstraction for local and remote filesystems,thephpleague/flysystem,13899674,PHP,flysystem,9,9536,45.5307262569832
28,Laravel Debugbar (Integrates PHP Debug Bar),barryvdh/laravel-debugbar,12615154,PHP,laravel-debugbar,337,9481,
29,PHP Image Manipulation,Intervention/image,7704544,PHP,image,264,9395,
30,"Loads environment variables from `.env` to `getenv()`, `$_ENV` and `$_SERVER` automagically.",vlucas/phpdotenv,7769432,PHP,phpdotenv,0,9372,
31,Composer starter project for Flarum,flarum/flarum,28628034,PHP,flarum,1,8954,
32,"A PHP library for generating RFC 4122 version 1, 3, 4, and 5 universally unique identifiers (UUID).",ramsey/uuid,4916869,PHP,uuid,32,8891,98.943661971831
33,Mobile_Detect is a lightweight PHP class for detecting mobile devices (including tablets). It uses the User-Agent string combined with specific HTTP headers to detect the mobile environment.,serbanghita/Mobile-Detect,5627682,PHP,Mobile-Detect,184,8703,81.4540059347181
34,"Free, open-source, self-hosted CMS platform based on the Laravel PHP Framework.",octobercms/october,14732311,PHP,october,358,8678,
35,A RESTful API package for the Laravel and Lumen frameworks.,dingo/api,18673522,PHP,api,213,8435,
36,Laravel IDE Helper,barryvdh/laravel-ide-helper,8678290,PHP,laravel-ide-helper,333,8395,
37,Voyager - The Missing Laravel Admin,the-control-group/voyager,72069409,PHP,voyager,213,8226,
38,Comprehensive mailing tools for PHP,swiftmailer/swiftmailer,93580,PHP,swiftmailer,345,8018,
39,:package: It is probably the best SDK in the world for developing WeChat App.,overtrue/wechat,29843361,PHP,wechat,24,7991,
40,🔐 JSON Web Token Authentication for Laravel & Lumen,tymondesigns/jwt-auth,23680678,PHP,jwt-auth,411,7926,
41,"Mockery is a simple yet flexible PHP mock object framework for use in unit testing with PHPUnit, PHPSpec or any other testing framework. Its core goal is to offer a test double framework with a succinct API capable of clearly defining all possible object operations and interactions using a human readable Domain Specific Language (DSL).",mockery/mockery,137515,PHP,mockery,61,7925,73.658269441402
42,CakePHP: The Rapid Development Framework for PHP - Official Repository,cakephp/cakephp,656494,PHP,cakephp,224,7887,73.4239251503676
43,"☁️ Nextcloud server, a safe home for all your data",nextcloud/server,60243197,PHP,server,1992,7776,100.0
44,A tool to automatically fix PHP Coding Standards issues,FriendsOfPHP/PHP-CS-Fixer,4344257,PHP,PHP-CS-Fixer,327,7719,91.9632096416112
45,"An asynchronous event driven PHP framework for easily building fast, scalable network applications. Supports HTTP, Websocket, SSL and other custom protocols. Supports libevent, HHVM, ReactPHP.",walkor/Workerman,15020102,PHP,Workerman,6,7555,
46,This is a collection of tutorials for learning how to use Docker with various tools. Contributions welcome.,docker/labs,56728437,PHP,labs,57,7525,
47,A REPL for PHP,bobthecow/psysh,4549925,PHP,psysh,66,7522,
48,"All Submissions you make to Magento Inc. (""Magento"") through GitHub are subject to the following terms and conditions: (1) You grant Magento a perpetual, worldwide, non-exclusive, no charge, royalty free, irrevocable license under your applicable copyrights and patents to reproduce, prepare derivative works of, display, publically perform, sublicense and distribute any feedback, ideas, code, or other information (“Submission"") you submit through GitHub. (2) Your Submission is an original work of authorship and you are the owner or are legally entitled to grant the license stated above. (3) You agree to the Contributor License Agreement found here:  https://github.com/magento/magento2/blob/master/CONTRIBUTOR_LICENSE_AGREEMENT.html",magento/magento2,2884111,PHP,magento2,1381,7514,
49,Doctrine Inflector is a small library that can perform string manipulations with regard to uppercase/lowercase and singular/plural forms of words.,doctrine/inflector,7549096,PHP,inflector,6,7298,
50,"Goutte, a simple PHP Web Scraper",FriendsOfPHP/Goutte,622166,PHP,Goutte,115,7284,
51,Personal CRM. Remember everything about your friends and family.,monicahq/monica,82238168,PHP,monica,349,7263,
52,,php-fig/log,6936773,PHP,log,11,7200,
53,🚀 Supercharged Excel exports and imports in Laravel,Maatwebsite/Laravel-Excel,14259390,PHP,Laravel-Excel,35,7118,
54,"Base library for a lexer that can be used in Top-Down, Recursive Descent Parsers.",doctrine/lexer,7579180,PHP,lexer,3,7107,
55,,doctrine/instantiator,22726901,PHP,instantiator,5,7115,
56,PHP Email address validator library inspired in @dominicsayers isemail function https://github.com/dominicsayers/isemail,egulias/EmailValidator,10157178,PHP,EmailValidator,27,6984,
57,PHP-ML - Machine Learning library for PHP,php-ai/php-ml,51325497,PHP,php-ml,80,6971,92.4277456647399
58,PHP Static Analysis Tool - discover bugs in your code without running it!,phpstan/phpstan,49014795,PHP,phpstan,254,6928,
59,"Event-driven, non-blocking I/O with PHP.",reactphp/react,4287921,PHP,react,0,6901,
60,A deployment tool written in PHP with support for popular frameworks out of the box,deployphp/deployer,11340559,PHP,deployer,244,6887,
61,The Console component eases the creation of beautiful and testable command line interfaces.,symfony/console,1398630,PHP,console,0,6779,
62,PHP Framework ThinkPHP——为API开发而设计的高性能PHP框架,top-think/think,8305060,PHP,think,35,6724,
63,,php-fig/container,65755556,PHP,container,7,6717,
64,":cloud: ownCloud web server core (Files, DAV, etc.)",owncloud/core,5550552,PHP,core,1509,6657,
65,,php-fig/simple-cache,66432581,PHP,simple-cache,6,6554,
66,"PHP_CodeSniffer tokenizes PHP, JavaScript and CSS files and detects violations of a defined set of coding standards.",squizlabs/PHP_CodeSniffer,2699935,PHP,PHP_CodeSniffer,181,6509,
67,Highly opinionated mocking framework for PHP 5.3+,phpspec/prophecy,9004802,PHP,prophecy,98,6476,
68,Doctrine Object Relational Mapper (ORM),doctrine/orm,597887,PHP,orm,1243,6458,
69,Build a full-featured administrative interface in ten minutes,z-song/laravel-admin,48796179,PHP,laravel-admin,168,6424,
70,:bathtub: Clean Code concepts adapted for PHP,jupeter/clean-code-php,79111500,PHP,clean-code-php,20,6392,
71,,phpDocumentor/ReflectionDocBlock,3951767,PHP,ReflectionDocBlock,11,6383,94.0111420612813
72,Associate users with roles and permissions,spatie/laravel-permission,42480275,PHP,laravel-permission,13,6358,
73,PHP 5.x support for random_bytes() and random_int(),paragonie/random_compat,38710819,PHP,random_compat,6,6338,
74,A pure PHP library for reading and writing spreadsheet files,PHPOffice/PhpSpreadsheet,61490598,PHP,PhpSpreadsheet,48,6321,
75,The HttpFoundation component defines an object-oriented layer for the HTTP specification.,symfony/http-foundation,1398648,PHP,http-foundation,0,6317,
76,,laravel/lumen,33904351,PHP,lumen,0,6279,
77,"A PSR-5 based resolver of Class names, Types and Structural Element Names",phpDocumentor/TypeResolver,37216840,PHP,TypeResolver,4,6248,75.0642673521851
78,"Library that provides collection, processing, and rendering functionality for PHP code coverage information.",sebastianbergmann/php-code-coverage,212659,PHP,php-code-coverage,12,6235,
79,Give thanks (in the form of a GitHub ★) to your fellow PHP package maintainers (not limited to Symfony components)!,symfony/thanks,114393221,PHP,thanks,5,6211,
80,"Twig, the flexible, fast, and secure template language for PHP",twigphp/Twig,330275,PHP,Twig,9,6166,
81,,phpDocumentor/ReflectionCommon,36597039,PHP,ReflectionCommon,0,6171,57.6923076923077
82,Role-based Permissions for Laravel 5,Zizaco/entrust,8067805,PHP,entrust,416,6116,
83,The EventDispatcher component provides tools that allow your application components to communicate with each other by dispatching events and listening to them.,symfony/event-dispatcher,1398640,PHP,event-dispatcher,0,6112,
84,The Finder component finds files and directories via an intuitive fluent interface.,symfony/finder,1398641,PHP,finder,0,6076,
85,The Debug component provides tools to ease debugging PHP code.,symfony/debug,9281708,PHP,debug,0,6064,
86,A PHP client library for accessing Google APIs,googleapis/google-api-php-client,12166778,PHP,google-api-php-client,20,6049,
87,HTML to PDF converter (PHP5),dompdf/dompdf,6660366,PHP,dompdf,680,6015,
88,Create deep copies (clones) of your objects,myclabs/DeepCopy,11584853,PHP,DeepCopy,6,5964,97.1830985915493
89,The HttpKernel component provides a structured process for converting a Request into a Response.,symfony/http-kernel,1398651,PHP,http-kernel,0,5902,
90,"This component provides a partial, native PHP implementation for the Mbstring extension.",symfony/polyfill-mbstring,44745130,PHP,polyfill-mbstring,0,5879,
91,Flexible and feature-complete Redis client for PHP and HHVM,nrk/predis,364315,PHP,predis,111,5731,28.7576483107209
92,The Process component executes commands in sub-processes.,symfony/process,1398656,PHP,process,0,5731,
93,The Routing component maps an HTTP request to a set of configuration variables.,symfony/routing,1398660,PHP,routing,0,5721,
94,A PHP Blogging Platform. Simple and Powerful.,typecho/typecho,11467667,PHP,typecho,265,5713,
95,"PPM is a process manager, supercharger and load balancer for modern PHP applications.",php-pm/php-pm,17154573,PHP,php-pm,24,5670,
96,:octocat:GitHub最全的前端资源汇总仓库（包括前端学习、开发资源、求职面试等）,helloqingfeng/Awsome-Front-End-learning-resource,66709063,PHP,Awsome-Front-End-learning-resource,2,5554,
97,[WordPress] A foundation for WordPress Plugin Development that aims to provide a clear and consistent guide for building your plugins.,DevinVinson/WordPress-Plugin-Boilerplate,2032813,PHP,WordPress-Plugin-Boilerplate,108,5538,
98,The VarDumper component provides mechanisms for walking through any arbitrary PHP variable. It provides a better dump() function that you can use instead of var_dump().,symfony/var-dumper,24498056,PHP,var-dumper,0,5536,
99,Assertions to validate method input/output with nice error messages.,webmozart/assert,32015820,PHP,assert,20,5516,
100,Diff implementation,sebastianbergmann/diff,8155345,PHP,diff,1,5500,
101,Laravel Proxy Package for handling sessions when behind load balancers or other intermediaries.,fideloper/TrustedProxy,9779017,PHP,TrustedProxy,17,5493,
102,Utility class for timing,sebastianbergmann/php-timer,656308,PHP,php-timer,0,5478,
103,An open source eCommerce plugin for WordPress.,woocommerce/woocommerce,2179920,PHP,woocommerce,154,5355,
104,The CssSelector component converts CSS selectors to XPath expressions.,symfony/css-selector,1398634,PHP,css-selector,0,5345,
105,"FilterIterator implementation that filters files based on a list of suffixes, prefixes, and other exclusion criteria.",sebastianbergmann/php-file-iterator,361639,PHP,php-file-iterator,0,5330,
106,Wrapper around PHP's tokenizer extension.,sebastianbergmann/php-token-stream,361718,PHP,php-token-stream,0,5285,
107,A simple template engine.,sebastianbergmann/php-text-template,378226,PHP,php-text-template,0,5266,
108,Doctrine Database Abstraction Layer,doctrine/dbal,677464,PHP,dbal,480,5246,100.0
109,Open Source eCommerce Platform,Sylius/Sylius,2717549,PHP,Sylius,219,5246,
110,The Translation component provides tools to internationalize your application.,symfony/translation,1398671,PHP,translation,0,5193,
111,Component for reading phar.io manifest information from a PHP Archive (PHAR),phar-io/manifest,74669747,PHP,manifest,1,5172,
112,Provides the functionality to compare PHP values for equality.,sebastianbergmann/comparator,14127912,PHP,comparator,7,5155,
113,Library for handling version information and constraints,phar-io/version,75178811,PHP,version,3,5158,
114,Pagekit CMS,pagekit/pagekit,17486281,PHP,pagekit,147,5144,
115,,laravel/tinker,77071207,PHP,tinker,0,5101,
116,PHP Hamcrest implementation [Official],hamcrest/hamcrest-php,15543026,PHP,hamcrest-php,4,5059,91.8287937743191
117,The most awesome validation engine ever created for PHP,Respect/Validation,931033,PHP,Validation,55,5029,
118,Provides the functionality to export PHP variables for visualization,sebastianbergmann/exporter,8016381,PHP,exporter,3,5031,
119,Provides functionality that helps writing PHP code that has runtime-specific (PHP / HHVM) execution paths,sebastianbergmann/environment,16699803,PHP,environment,1,5012,
